lambda_idx,t_1_ms,t_2_ms,t_3_ms
1131,15.448,21.910,26.866
1132,15.796,22.139,26.980
1133,15.836,22.761,27.532
1134,16.239,22.871,27.706
1135,15.995,22.483,27.721
1136,16.408,23.214,28.095
1137,15.771,22.517,27.507
1138,15.358,21.940,26.811
1139,15.910,22.507,27.517
1140,15.478,22.378,27.070
1141,15.940,22.398,27.294
1142,14.930,21.473,26.507
1143,15.527,22.109,26.806
1144,15.478,21.965,26.741
1145,15.751,22.090,27.095
1146,15.532,22.129,27.015
1147,15.781,22.100,27.124
1148,15.891,22.502,27.517
1149,16.179,22.552,27.741
1150,15.562,22.587,27.428
1151,15.731,22.294,27.259
1152,15.050,21.587,26.403
1153,16.114,22.667,27.463
1154,16.040,22.622,27.677
1155,15.095,21.716,26.811
1156,16.005,22.517,27.751
1157,15.234,21.846,26.746
1158,16.721,23.224,28.085
1159,15.831,22.413,27.199
1160,15.771,22.348,27.065
1161,15.373,21.950,26.930
1162,16.289,23.005,27.935
1163,15.294,21.985,26.970
1164,15.871,22.443,27.274
1165,15.910,22.751,27.532
1166,15.144,21.741,26.761
1167,15.736,22.259,27.333
1168,15.313,21.980,26.786
1169,15.463,22.209,26.940
1170,15.308,21.796,26.716
1171,14.866,21.582,26.527
1172,16.030,22.473,27.373
1173,15.368,22.219,27.065
1174,16.617,23.244,28.189
1175,15.050,22.040,27.055
1176,15.920,22.468,27.398
1177,15.388,22.124,27.025
1178,15.547,22.328,27.104
1179,16.124,22.677,27.577
1180,16.522,23.433,28.881
1181,15.975,22.811,27.881
1182,14.657,21.109,26.005
1183,15.229,21.677,26.721
1184,15.418,22.194,27.149
1185,15.771,22.204,27.403
1186,15.378,22.358,27.224
1187,15.831,22.378,27.378
1188,15.697,22.333,27.259
1189,15.413,22.308,27.214
1190,15.274,22.055,26.841
1191,16.109,23.035,28.269
1192,15.776,22.473,27.413
1193,16.055,22.741,27.582
1194,15.886,22.537,27.393
1195,15.672,22.458,27.507
1196,15.388,22.149,27.154
1197,15.925,22.617,27.592
1198,15.731,22.179,27.368
1199,16.781,23.567,28.328
1200,16.090,22.453,27.468
1201,15.980,22.537,27.308
1202,15.771,22.388,27.453
1203,15.443,22.184,27.234
1204,15.458,22.169,27.299
1205,16.100,22.891,27.821
1206,15.408,22.090,27.000
1207,15.413,21.816,26.677
1208,16.219,22.771,27.711
1209,15.781,22.607,27.284
1210,15.194,21.965,26.960
1211,15.567,22.164,27.229
1212,15.935,22.836,27.537
1213,15.662,22.328,27.254
1214,16.144,22.453,27.378
1215,15.328,22.030,27.149
1216,15.652,22.567,27.488
1217,15.333,22.289,27.100
1218,16.408,22.910,27.940
1219,15.990,22.896,27.811
1220,16.020,22.527,27.692
1221,16.289,23.149,28.090
1222,16.189,22.542,27.925
1223,16.323,22.896,28.080
1224,16.020,22.537,27.493
1225,15.692,22.104,27.095
1226,15.443,22.080,27.259
1227,15.383,22.119,27.065
1228,16.254,23.075,27.940
1229,15.985,22.527,27.791
1230,14.343,21.244,26.114
1231,16.731,23.398,28.587
1232,15.960,22.488,27.567
1233,15.692,22.214,26.985
1234,15.478,22.264,27.090
1235,15.801,22.383,27.279
1236,15.612,22.229,27.020
1237,15.806,22.313,27.119
1238,15.065,21.726,26.468
1239,15.811,22.776,27.403
1240,16.030,22.741,27.776
1241,15.716,22.502,27.398
1242,16.109,22.672,27.204
1243,15.453,22.428,27.413
1244,15.657,22.144,26.910
1245,15.582,22.269,27.269
1246,15.488,22.264,27.308
1247,15.811,22.841,27.637
1248,15.557,22.274,26.955
1249,14.781,21.831,26.637
1250,15.383,22.090,26.821
1251,16.000,22.483,27.537
1252,15.781,22.348,27.184
1253,15.318,22.199,27.129
1254,15.786,22.343,27.383
1255,15.299,21.910,26.428
1256,16.204,22.965,28.015
1257,15.632,22.453,27.289
1258,15.030,21.716,26.652
1259,16.055,22.786,27.751
1260,15.174,21.532,26.537
1261,15.592,22.308,27.413
1262,15.816,22.498,27.388
1263,15.846,22.473,27.582
1264,15.393,22.254,27.184
1265,15.114,22.169,27.418
1266,15.662,22.244,27.129
1267,15.960,22.428,27.502
1268,15.313,21.871,26.781
1269,14.905,21.095,26.219
1270,15.672,22.373,27.244
